baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2,cs2c2,phi,minimum_cs2c2,minimum_phi,maximum_cs2c2,maximum_phi
3.322222222222222204e+37,5.587384262777778125e+13,1.518222072618985901e+11,1.583632715411612549e+11,1.550927394015299072e+11,5.616363280940327344e+13,5.616702658923278125e+13,5.616532969931802344e+13,4.039930999391341121e-03,5.507479552947440737e+00,3.920060011388093110e-03,5.537720552683833120e+00,4.159779835068834128e-03,5.478124674584202047e+00
3.644444444444444192e+37,6.129304475555556250e+13,1.741370302261984863e+11,1.819386783883347473e+11,1.780378543072666321e+11,6.162342305052006250e+13,6.162794094090007031e+13,6.162568199571006250e+13,4.372957081834407539e-03,5.427933274527775076e+00,4.262469221988572990e-03,5.453635077605254011e+00,4.483419989247774615e-03,5.402875632673922901e+00
3.966666666666666653e+37,6.671224688333334375e+13,1.983728264166445312e+11,2.073380820639071960e+11,2.028554542402758789e+11,6.708456667316125781e+13,6.709044691984831250e+13,6.708750679650478125e+13,4.716995303794969951e-03,5.351855114837161587e+00,4.612756031963396314e-03,5.374306335250600419e+00,4.821206151040129811e-03,5.329898277763367886e+00
4.288888888888888641e+37,7.213144901111112500e+13,2.245253755579550781e+11,2.346185374513616943e+11,2.295719565046583862e+11,7.254701988631137500e+13,7.255452610067662500e+13,7.255077299349400000e+13,5.062824284598688857e-03,5.280755108582487978e+00,4.957735288183409000e-03,5.301836172012540871e+00,5.167879101606466519e-03,5.260111627653466293e+00
4.611111111111111102e+37,7.755065113888889062e+13,2.525423512689837036e+11,2.638220878472045593e+11,2.581822195580941772e+11,7.801074356402165625e+13,7.802016455822998438e+13,7.801545406112582812e+13,5.407946578918521041e-03,5.214463195991978495e+00,5.238538014509720731e-03,5.246460517179861505e+00,5.577287405046805341e-03,5.183459850370603306e+00
4.933333333333332618e+37,8.296985326666667188e+13,2.817759610942045898e+11,2.955947671706875610e+11,2.886853641324461060e+11,8.347570115333371875e+13,8.348735067291573438e+13,8.348152591312471875e+13,5.755812080552809989e-03,5.151772697461200146e+00,5.464649073301821453e-03,5.203975738013100205e+00,6.046843710353147494e-03,5.102153643935438687e+00
5.255555555555555078e+37,8.838905539444445312e+13,3.122773381010172729e+11,3.299505556413604126e+11,3.211139468711888428e+11,8.894185900500945312e+13,8.895607537972026562e+13,8.894896719236485938e+13,6.114402864727995490e-03,5.090974993139587568e+00,5.704695683186489230e-03,5.160744609604876132e+00,6.523900324341306428e-03,5.025737598672127326e+00
5.577777777777777539e+37,9.380825752222223438e+13,3.441484678587069092e+11,3.669603431002301636e+11,3.555544054794685669e+11,9.440918792215051562e+13,9.442633365014796875e+13,9.441776078614925000e+13,6.494609321752425196e-03,5.030266990226096802e+00,5.983878784820394203e-03,5.112684441131778001e+00,7.005045385009421588e-03,4.954094924367653974e+00
5.899999999999999999e+37,9.922745965000001562e+13,3.777162310058566895e+11,4.066008542611471558e+11,3.921585426335018921e+11,9.987766509486603125e+13,9.989812637104576562e+13,9.988789573295589062e+13,6.908667463471677983e-03,4.968045858758699751e+00,6.308712111131827005e-03,5.059495029963895441e+00,7.508233411990722361e-03,4.884218510218937048e+00
6.222222222222221515e+37,1.046466617777777969e+14,4.131541020764838867e+11,4.491397360896646118e+11,4.311469190830742798e+11,1.053472758943869062e+14,1.053714620906392031e+14,1.053593689925130469e+14,7.368810187978351578e-03,4.903102931722953528e+00,6.670839075928129691e-03,5.003316439904970103e+00,8.066274790254977789e-03,4.811964532194624056e+00
6.544444444444443976e+37,1.100658639055555781e+14,4.506979791436885376e+11,4.949132202713777466e+11,4.728055997075331421e+11,1.108180152329979844e+14,1.108463583362596094e+14,1.108321867846287969e+14,7.886203851054443548e-03,4.834722929703620053e+00,7.080856219111947292e-03,4.943254399230939455e+00,8.690902082308743504e-03,4.736749649931226713e+00
6.866666666666666437e+37,1.154850660333333438e+14,4.906376624405925903e+11,5.443181588347294312e+11,5.174779106376610107e+11,1.162898883636815938e+14,1.163228423762154375e+14,1.163063653699485156e+14,8.470187691695441057e-03,4.762696347388469142e+00,7.547491571089796902e-03,4.878963895150524976e+00,9.392061737345268335e-03,4.658453997251227996e+00
7.188888888888888897e+37,1.209042681611111250e+14,5.333050596928675537e+11,5.978006399426550293e+11,5.655528498177612305e+11,1.217629111067316719e+14,1.218009514125321719e+14,1.217819312596319219e+14,9.127800283182031793e-03,4.687260832343118189e+00,8.077144175909989343e-03,4.810606971472950910e+00,1.017742745679194732e-02,4.577353433846269581e+00
7.511111111111111358e+37,1.263234702888889219e+14,5.790606076691130371e+11,6.558426743189433594e+11,6.174516409940281982e+11,1.272371095620069219e+14,1.272807322627797031e+14,1.272589209123933281e+14,9.863558327580713991e-03,4.608995764842146237e+00,8.673675486306327287e-03,4.738751135751120280e+00,1.105216638106940041e-02,4.494015122304531040e+00
7.833333333333332874e+37,1.317426724166667031e+14,6.282791726954610596e+11,7.189482221345577393e+11,6.736136974150093994e+11,1.327125194048275469e+14,1.327622406293070312e+14,1.327373800170672969e+14,1.067944419113608240e-02,4.528697610098863180e+00,9.338408516637974888e-03,4.664237150800725651e+00,1.201891500667322948e-02,4.409181893455922818e+00
8.155555555555555334e+37,1.371618745444444688e+14,6.813364386100159912e+11,7.876295819886513672e+11,7.344830102993337402e+11,1.381891848807182344e+14,1.382455400709838125e+14,1.382173624758510156e+14,1.157505623882571638e-02,4.447260251694302724e+00,1.007028845476332091e-02,4.588044590887159657e+00,1.307791924886246571e-02,4.323665836234695803e+00
8.477777777777777795e+37,1.425810766722222500e+14,7.385965393339439697e+11,8.623949150261257324e+11,8.004957271800347900e+11,1.436671576155619375e+14,1.437307007945494375e+14,1.436989292050556875e+14,1.254787775614139844e-02,4.365576463614262437e+00,1.086616039803008082e-02,4.511176241198072034e+00,1.422729456043482499e-02,4.238263534381906616e+00
8.799999999999998366e+37,1.480002788000000000e+14,8.004014603288100586e+11,9.437374451808037109e+11,8.720694527548068848e+11,1.491464953489874688e+14,1.492177983738440938e+14,1.491821468614157812e+14,1.359362433687144600e-02,4.284467531334834156e+00,1.172112404062729263e-02,4.434572233582552592e+00,1.546336603624552664e-02,4.153697363155425037e+00
9.122222222222221771e+37,1.534194809277777812e+14,8.670625276138603516e+11,1.032126671940452393e+12,9.495945997771562500e+11,1.546272606845591875e+14,1.547069124907242500e+14,1.546670865876417188e+14,1.470663493320523152e-02,4.204640681429332005e+00,1.262893054022827533e-02,4.359055669051467241e+00,1.678105366740507975e-02,4.070581336016713792e+00
9.444444444444443287e+37,1.588386830555555625e+14,9.388541294298966064e+11,1.128001757325042236e+12,1.033427943377469482e+12,1.601095199331510000e+14,1.601981257742328125e+14,1.601538228536919062e+14,1.588027742362682626e-02,4.126669633267998627e+00,1.358239252305287748e-02,4.285305515417539901e+00,1.817427349603936704e-02,3.989406774773545106e+00
