baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2
6.866666666666666437e+37,1.154850660333333438e+14,4.827816355416744995e+11,6.240245106161595459e+11,5.534030730789169922e+11,1.162853956270562812e+14,1.163720013936422031e+14,1.163286985103492344e+14
7.188888888888888897e+37,1.209042681611111250e+14,5.215862667968319092e+11,6.888019959893192139e+11,6.051941313930755615e+11,1.217566090365299531e+14,1.218551104984342344e+14,1.218058597674821094e+14
7.511111111111111358e+37,1.263234702888889219e+14,5.625076059220098877e+11,7.587937908212989502e+11,6.606506983716545410e+11,1.272286872552374219e+14,1.273400536578005469e+14,1.272843704565189688e+14
7.833333333333332874e+37,1.317426724166667031e+14,6.056774324206027832e+11,8.343606463215421143e+11,7.200190393710723877e+11,1.327016469328946406e+14,1.328268707157276094e+14,1.327642588243111094e+14
8.155555555555555334e+37,1.371618745444444688e+14,6.512305152442060547e+11,9.158782479494912109e+11,7.835543815968486328e+11,1.381755139359667656e+14,1.383156091575350469e+14,1.382455615467508906e+14
8.477777777777777795e+37,1.425810766722222500e+14,6.993037380324106445e+11,1.003735789946364502e+12,8.515197639893874512e+11,1.436503233639130625e+14,1.438063242018123750e+14,1.437283237828627500e+14
8.799999999999998366e+37,1.480002788000000000e+14,7.500352390591800537e+11,1.098334406052681885e+12,9.241848225559310303e+11,1.491261195344741562e+14,1.492990788597225000e+14,1.492125991970983438e+14
9.122222222222221771e+37,1.534194809277777812e+14,8.035635867710175781e+11,1.200085523315373291e+12,1.001824555043195435e+12,1.546029559356311875e+14,1.547939439587565312e+14,1.546984499471938750e+14
9.444444444444443287e+37,1.588386830555555625e+14,8.600270064651119385e+11,1.309409193288571777e+12,1.084718099876841919e+12,1.600808951439624375e+14,1.602909981302677812e+14,1.601859466371150938e+14
9.766666666666666692e+37,1.642578851833333750e+14,9.195626678913061523e+11,1.426732444046770996e+12,1.173147555969038574e+12,1.655600087098265625e+14,1.657903277615391875e+14,1.656751682356829062e+14
1.008888888888888821e+38,1.696770873111111250e+14,9.823060400124265137e+11,1.552487685099297607e+12,1.267396862555862061e+12,1.710403770110745312e+14,1.712920269143964375e+14,1.711662019627354688e+14
1.041111111111110972e+38,1.750962894388889062e+14,1.048390314432238892e+12,1.687111188690296387e+12,1.367750751561267578e+12,1.765220890778929062e+14,1.767961972113125938e+14,1.766591431446027500e+14
1.073333333333333313e+38,1.805154915666666875e+14,1.117945897377895508e+12,1.831041661703450439e+12,1.474493779540673096e+12,1.820052423904441562e+14,1.823029476924749375e+14,1.821540950414595625e+14
1.105555555555555465e+38,1.859346936944445000e+14,1.191099966195006348e+12,1.984718916700484375e+12,1.587909441447745605e+12,1.874899426517976562e+14,1.878123946453212188e+14,1.876511686485594375e+14
1.137777777777777805e+38,1.913538958222222500e+14,1.267976086925766113e+12,2.148582643040449951e+12,1.708279364983108154e+12,1.929763035386417188e+14,1.933246614088042188e+14,1.931504824737229688e+14
1.169999999999999957e+38,1.967730979500000312e+14,1.348693886231059326e+12,2.323071276524680664e+12,1.835882581377869629e+12,1.984644464314613750e+14,1.988398781549045000e+14,1.986521622931829375e+14
