baryon_density,pressurec2,energy_densityc2,cs2c2
4.014292616880000000e+13,1.062599359123522034e+11,4.035906706692921094e+13,4.004222971188267817e-03
4.683341386360000000e+13,1.344891192348810577e+11,4.710543056197157031e+13,4.357204528082400663e-03
5.352390155840000000e+13,1.650695785821857910e+11,5.385600405857343750e+13,4.699760840599359092e-03
6.021438925319999219e+13,1.979606290084134521e+11,6.061055084981982812e+13,5.038787931296371050e-03
6.690487694800000000e+13,2.331587579022936096e+11,6.736888435496597656e+13,5.378954314024281431e-03
7.359536464279998438e+13,2.706863597271183472e+11,7.413085698028840625e+13,5.723549593355459902e-03
8.028585233760000000e+13,3.105844957728439941e+11,8.089635096906978125e+13,6.074962888760802524e-03
8.697634003240000000e+13,3.529080402719404297e+11,8.766527243419759375e+13,6.434973119601637703e-03
9.366682772720000000e+13,3.977223342786141357e+11,9.443754618641642188e+13,6.804933894346074617e-03
1.003573154220000000e+14,4.451008185996589355e+11,1.012131131484542656e+14,7.185895662942169346e-03
1.070478031168000000e+14,4.951233310959744873e+11,1.079919273713217812e+14,7.578690142679126232e-03
1.137382908116000156e+14,5.478748674522467651e+11,1.147739536473516875e+14,7.983988965597679094e-03
1.204287785063999844e+14,6.034446681645617676e+11,1.215591657199787031e+14,8.402344628442526275e-03
1.271192662012000000e+14,6.619255422349339600e+11,1.283475460848258750e+14,8.781323269134250209e-03
1.338097538960000000e+14,7.226948390854434814e+11,1.351390832049175312e+14,8.947797203483355555e-03
