baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2,cs2c2,phi,minimum_cs2c2,minimum_phi,maximum_cs2c2,maximum_phi
4.611111111111111102e+37,7.755065113888889062e+13,2.584527730772817078e+11,2.916842788945219727e+11,2.750685259859018555e+11,7.801163384193614062e+13,7.803979341177653125e+13,7.802571362685632812e+13,5.683557251216077993e-03,5.164478195532786309e+00,5.065515870336240178e-03,5.280220907363580629e+00,6.300966830303685040e-03,5.060731290526405246e+00
4.933333333333332618e+37,8.296985326666667188e+13,2.869792046230203247e+11,3.273919302394199829e+11,3.071855674312201538e+11,8.347649368141742188e+13,8.351056238719598438e+13,8.349352803430670312e+13,6.078637013374490333e-03,5.096877596428423196e+00,5.283848269946683773e-03,5.237802750567818855e+00,6.872493086819048830e-03,4.973332126417938426e+00
5.255555555555555078e+37,8.838905539444445312e+13,3.162091853324205322e+11,3.668932345187285767e+11,3.415512099255745850e+11,8.894235725949962500e+13,8.898309132845365625e+13,8.896272429397664062e+13,6.503664859731965453e-03,5.028864530561508950e+00,5.421036716463163707e-03,5.212032421864631893e+00,7.584875031727864730e-03,4.873985355546629705e+00
5.577777777777777539e+37,9.380825752222223438e+13,3.462458227454838867e+11,4.104233741773067627e+11,3.783345984613953247e+11,9.440917704504075000e+13,9.445736909913575000e+13,9.443327307208825000e+13,6.960361258855497779e-03,4.960539203409503273e+00,5.633818353128476619e-03,5.173318103072597651e+00,8.284982462120088487e-03,4.784991251250961142e+00
5.899999999999999999e+37,9.922745965000001562e+13,3.778127537872022705e+11,4.576174466561412354e+11,4.177151002216718140e+11,9.987691504156473438e+13,9.993339198861023438e+13,9.990515351508748438e+13,7.450651996712312486e-03,4.891975187336055519e+00,5.922384293528877575e-03,5.123076167721636764e+00,8.976471689517775965e-03,4.704131378556930088e+00
6.222222222222221515e+37,1.046466617777777969e+14,4.110154466853823242e+11,5.087510517802932739e+11,4.598832492328377686e+11,1.053455424554317812e+14,1.054111634482355781e+14,1.053783529518336875e+14,7.976591547202274701e-03,4.823235508429744023e+00,6.230753047521207788e-03,5.072007833887361095e+00,9.719356257609022831e-03,4.623868993845769992e+00
6.544444444444443976e+37,1.100658639055555781e+14,4.459657834622667847e+11,5.641167221037041016e+11,5.050412527829854126e+11,1.108150395521960938e+14,1.108906940218860156e+14,1.108528667870410625e+14,8.540283490470798600e-03,4.754384115443907710e+00,6.560042046390990311e-03,5.020176612846266373e+00,1.051671349172048076e-02,4.544217121283633531e+00
6.866666666666666437e+37,1.154850660333333438e+14,4.827816355416744995e+11,6.240245106161595459e+11,5.534030730789169922e+11,1.162853956270562812e+14,1.163720013936422031e+14,1.163286985103492344e+14,9.143806557824832315e-03,4.685492640053961821e+00,6.911272894343754858e-03,4.967666181342798914e+00,1.137166582967706618e-02,4.465193653370575610e+00
7.188888888888888897e+37,1.209042681611111250e+14,5.215862667968319092e+11,6.888019959893192139e+11,6.051941313930755615e+11,1.217566090365299531e+14,1.218551104984342344e+14,1.218058597674821094e+14,9.789150870697038709e-03,4.616643180941236935e+00,7.285343343963419926e-03,4.914578699123881123e+00,1.228728133714401816e-02,4.386827195119685996e+00
7.511111111111111358e+37,1.263234702888889219e+14,5.625076059220098877e+11,7.587937908212989502e+11,6.606506983716545410e+11,1.272286872552374219e+14,1.273400536578005469e+14,1.272843704565189688e+14,1.047816633102252593e-02,4.547928134984134729e+00,7.683007162407086421e-03,4.861031577345339194e+00,1.326649066148266609e-02,4.309158645494677309e+00
7.833333333333332874e+37,1.317426724166667031e+14,6.056774324206027832e+11,8.343606463215421143e+11,7.200190393710723877e+11,1.327016469328946406e+14,1.328268707157276094e+14,1.327642588243111094e+14,1.121252343337768992e-02,4.479448104022575983e+00,8.104861624055777203e-03,4.807153312284325075e+00,1.431202122583667691e-02,4.232240023688758512e+00
8.155555555555555334e+37,1.371618745444444688e+14,6.512305152442060547e+11,9.158782479494912109e+11,7.835543815968486328e+11,1.381755139359667656e+14,1.383156091575350469e+14,1.382455615467508906e+14,1.199368576712317447e-02,4.411308763420952239e+00,8.551341683983797182e-03,4.753078972048538908e+00,1.542634814130716681e-02,4.156131740983984635e+00
8.477777777777777795e+37,1.425810766722222500e+14,6.993037380324106445e+11,1.003735789946364502e+12,8.515197639893874512e+11,1.436503233639130625e+14,1.438063242018123750e+14,1.437283237828627500e+14,1.282289291971341894e-02,4.343617380333959943e+00,9.022719836245481073e-03,4.698945785321253510e+00,1.661166025121736667e-02,4.080899224279006532e+00
8.799999999999998366e+37,1.480002788000000000e+14,7.500352390591800537e+11,1.098334406052681885e+12,9.241848225559310303e+11,1.491261195344741562e+14,1.492990788597225000e+14,1.492125991970983438e+14,1.370115222483461737e-02,4.276479466429623066e+00,9.519110467149538568e-03,4.644889166081616061e+00,1.786983938053880727e-02,4.006609505113990721e+00
9.122222222222221771e+37,1.534194809277777812e+14,8.035635867710175781e+11,1.200085523315373291e+12,1.001824555043195435e+12,1.546029559356311875e+14,1.547939439587565312e+14,1.546984499471938750e+14,1.462923773604893340e-02,4.209995867862502017e+00,1.004047756104124722e-02,4.591039376894342716e+00,1.920245069058316989e-02,3.933328155490908085e+00
9.444444444444443287e+37,1.588386830555555625e+14,8.600270064651119385e+11,1.309409193288571777e+12,1.084718099876841919e+12,1.600808951439624375e+14,1.602909981302677812e+14,1.601859466371150938e+14,1.560769485294315195e-02,4.144260449244493216e+00,1.058664475027450147e-02,4.537518919514046623e+00,2.061074199765579318e-02,3.861116775189525452e+00
9.766666666666666692e+37,1.642578851833333750e+14,9.195626678913061523e+11,1.426732444046770996e+12,1.173147555969038574e+12,1.655600087098265625e+14,1.657903277615391875e+14,1.656751682356829062e+14,1.663684916721420992e-02,4.079358418555131927e+00,1.115730686387786386e-02,4.484440655097023054e+00,2.209565003298082086e-02,3.790031105519121368e+00
1.008888888888888821e+38,1.696770873111111250e+14,9.823060400124265137e+11,1.552487685099297607e+12,1.267396862555862061e+12,1.710403770110745312e+14,1.712920269143964375e+14,1.711662019627354688e+14,1.771681824879743627e-02,4.015365267249493719e+00,1.175204222290754386e-02,4.431906603977808778e+00,2.365781183476520222e-02,3.720119757059045629e+00
1.041111111111110972e+38,1.750962894388889062e+14,1.048390314432238892e+12,1.687111188690296387e+12,1.367750751561267578e+12,1.765220890778929062e+14,1.767961972113125938e+14,1.766591431446027500e+14,1.884752527412242307e-02,3.952346255259910457e+00,1.237032510721905454e-02,4.380007336532744766e+00,2.529757964958964656e-02,3.651423489381748322e+00
1.073333333333333313e+38,1.805154915666666875e+14,1.117945897377895508e+12,1.831041661703450439e+12,1.474493779540673096e+12,1.820052423904441562e+14,1.823029476924749375e+14,1.821540950414595625e+14,2.002871356812080395e-02,3.890356349316948847e+00,1.301153789026736340e-02,4.328821855646509675e+00,2.701503798830853786e-02,3.583974953297465849e+00
1.105555555555555465e+38,1.859346936944445000e+14,1.191099966195006348e+12,1.984718916700484375e+12,1.587909441447745605e+12,1.874899426517976562e+14,1.878123946453212188e+14,1.876511686485594375e+14,2.125996131008170420e-02,3.829440516602978573e+00,1.367498254046854711e-02,4.278417861038695591e+00,2.881002163876458799e-02,3.517798801249836682e+00
1.137777777777777805e+38,1.913538958222222500e+14,1.267976086925766113e+12,2.148582643040449951e+12,1.708279364983108154e+12,1.929763035386417188e+14,1.933246614088042188e+14,1.931504824737229688e+14,2.254069582604503741e-02,3.769634279578388369e+00,1.435989124525202665e-02,4.228852296569544755e+00,3.068213372336239808e-02,3.452912071693805984e+00
1.169999999999999957e+38,1.967730979500000312e+14,1.348693886231059326e+12,2.323071276524680664e+12,1.835882581377869629e+12,1.984644464314613750e+14,1.988398781549045000e+14,1.986521622931829375e+14,2.387020699273753599e-02,3.710964450227930200e+00,1.506543598383641713e-02,4.180172094149307682e+00,3.263076302621148450e-02,3.389324765662314665e+00
1.202222222222222297e+38,2.021923000777778125e+14,1.433368772310096680e+12,2.508620959876967285e+12,1.970994866093532227e+12,2.039545001263215625e+14,2.043581816487552188e+14,2.041563408875383750e+14,2.524765943180512506e-02,3.653449973403523732e+00,1.579073695862487359e-02,4.132415040465648559e+00,3.465510003789099014e-02,3.327040544725006654e+00
1.234444444444444260e+38,2.076115022055555938e+14,1.522111697083876221e+12,2.705664586336725586e+12,2.113888141710300781e+12,2.094466005297287188e+14,2.098797149894492500e+14,2.096631577595890000e+14,2.667210328122002205e-02,3.597102822743483586e+00,1.653486982334445576e-02,4.085610708764213506e+00,3.675415135449630610e-02,3.266057492453409594e+00
1.266666666666666789e+38,2.130307043333333750e+14,1.615028953616746582e+12,2.914630914564566406e+12,2.264829934090656738e+12,2.149408903384091250e+14,2.154046273323905938e+14,2.151727588353998438e+14,2.814248342778985501e-02,3.541928905447795373e+00,1.729687184261227695e-02,4.039781401782519765e+00,3.892675206422463452e-02,3.206368898611407836e+00
1.298888888888888752e+38,2.184499064611111562e+14,1.712222002511789551e+12,3.135943743030145996e+12,2.424082872770967773e+12,2.204375187046889062e+14,2.209330735957216875e+14,2.206852961502053125e+14,2.965764710148613426e-02,3.487928945810378156e+00,1.808023772939210128e-02,3.994690092906927337e+00,4.116130806126389041e-02,3.148224165917072437e+00
1.331111111111111092e+38,2.238691085888889688e+14,1.813787319671647217e+12,3.370021131329946289e+12,2.591904225500796875e+12,2.259340236826490312e+14,2.264678313561018438e+14,2.262009275193754688e+14,3.121634991897292988e-02,3.435099322210692474e+00,1.888928391917563121e-02,3.950090540762596358e+00,4.344393409079666535e-02,3.091868167544790325e+00
1.363333333333333244e+38,2.292883107166667188e+14,1.919816262394390869e+12,3.617274655253767578e+12,2.768545458824079102e+12,2.314276964646608438e+14,2.320119359286911250e+14,2.317198161966759688e+14,3.281726040992721805e-02,3.383432844402234796e+00,1.971131873258727407e-02,3.906654075304332174e+00,4.579943534323149823e-02,3.036602122547442661e+00
1.395555555555555396e+38,2.347075128444444375e+14,2.030394945902184570e+12,3.878108683939422852e+12,2.954251814920803711e+12,2.369229547285570625e+14,2.375613063100127500e+14,2.372421305192849062e+14,3.445896310951196417e-02,3.332919463254301995e+00,2.054066253141564879e-02,3.864594263315538125e+00,4.823646045486418288e-02,2.982201445036935628e+00
1.427777777777777736e+38,2.401267149722222500e+14,2.145604127819894775e+12,4.152919667092258789e+12,3.149261897456076660e+12,2.424198677805248125e+14,2.431162193012411875e+14,2.427680435408830312e+14,3.613996044214634606e-02,3.283546906298330459e+00,2.138343793591532260e-02,3.823523208792201977e+00,5.073673865630240476e-02,2.929035892842469568e+00
1.459999999999999888e+38,2.455459171000000625e+14,2.265519096643415527e+12,4.442095421624208008e+12,3.353807259133811523e+12,2.479185058869169062e+14,2.486769594203937188e+14,2.482977326536552812e+14,3.785867349028232409e-02,3.235301240997045635e+00,2.223859260701283036e-02,3.783436495229719920e+00,5.329800990690553020e-02,2.877085362376408106e+00
1.492222222222222228e+38,2.509651192277778125e+14,2.390209560864089355e+12,4.746014408418896484e+12,3.568111984641492676e+12,2.534189400168949062e+14,2.542438183807195000e+14,2.538313791988072188e+14,3.961344187317095145e-02,3.188167366224667454e+00,2.310505480292598945e-02,3.744327702088507070e+00,5.591786518051955479e-02,2.826329248701824781e+00
1.524444444444444380e+38,2.563843213555555938e+14,2.519739536094455078e+12,5.065044992204866211e+12,3.792392264149660645e+12,2.589212415866741875e+14,2.598170945471879375e+14,2.593691680669310625e+14,4.140252295582830255e-02,3.142129434868386806e+00,2.398173339166739804e-02,3.706188870148022119e+00,5.859374548454948650e-02,2.776746814248631789e+00
1.556666666666666720e+38,2.618035234833333438e+14,2.654167230532652344e+12,5.399544676426566406e+12,4.026855953479609863e+12,2.644254822069494062e+14,2.653970923699500938e+14,2.649112872884497500e+14,4.322409054812781370e-02,3.097171213233691045e+00,2.486751759636823822e-02,3.669010903506201515e+00,6.132294022463036232e-02,2.728317499029570214e+00
1.588888888888888683e+38,2.672227256111111562e+14,2.793544925345151367e+12,5.749859310269218750e+12,4.271702117807185059e+12,2.699317334313269375e+14,2.709841217970087500e+14,2.704579276141678750e+14,4.507623333203686355e-02,3.053276381325242372e+00,2.576127662430907628e-02,3.632783911074447758e+00,6.410258524338280361e-02,2.681021176328753253e+00
1.621111111111111213e+38,2.726419277388889688e+14,2.937918852017617676e+12,6.116322263362241211e+12,4.527120557689929688e+12,2.754400665085554688e+14,2.765784976659037500e+14,2.760092820872296250e+14,4.695695322033477392e-02,3.010428779293913504e+00,2.666185935426368392e-02,3.597497490062302461e+00,6.692966077038398076e-02,2.634838359715331535e+00
1.653333333333333175e+38,2.780611298666666875e+14,3.087329065222895996e+12,6.499253567862875977e+12,4.793291316542885742e+12,2.809505521377250938e+14,2.821805390750063750e+14,2.815655456063656875e+14,4.886416381842939582e-02,2.968612605878115485e+00,2.756809413903332784e-02,3.563140958787403889e+00,6.980098956062019688e-02,2.589750366220448630e+00
1.685555555555555516e+38,2.834803319944445000e+14,3.241809313838175781e+12,6.898959026718259766e+12,5.070384170278218750e+12,2.864632602261462500e+14,2.877905687367250000e+14,2.871269144814356250e+14,5.079568919340554656e-02,2.927812573480651714e+00,2.847878882640447751e-02,3.529703543528687426e+00,7.271323552836173043e-02,2.545739439759682643e+00
1.717777777777777856e+38,2.888995341222223125e+14,3.401386909877508301e+12,7.315729291290792969e+12,5.358558100584150391e+12,2.919782596513005625e+14,2.934089123124819375e+14,2.926935859818912500e+14,5.274926311767097475e-02,2.888014024890531051e+00,2.939273100008393813e-02,3.497174527245461295e+00,7.566290320291046978e-02,2.502788838313414477e+00
1.749999999999999630e+38,2.943187362500000000e+14,3.566082598011926270e+12,7.749838910992613281e+12,5.657960754502269531e+12,2.974956180262018750e+14,2.990358977321063125e+14,2.982657578791540625e+14,5.472252892850765216e-02,2.849203016532118049e+00,3.030868866683944507e-02,3.465543359020452741e+00,7.864633806422038909e-02,2.460882891780894699e+00
1.782222222222222159e+38,2.997379383777778125e+14,3.735910428004211914e+12,8.201545358911166992e+12,5.968727893457689453e+12,3.030154014704395000e+14,3.046718544967065000e+14,3.038436279835730000e+14,5.671304011987710059e-02,2.811366372854263496e+00,3.122541128441813640e-02,3.434799734681809991e+00,8.165972808354371448e-02,2.420007032491467314e+00
1.814444444444444311e+38,3.051571405055555625e+14,3.910877631586860840e+12,8.671088040073516602e+12,6.290982835830188477e+12,3.085376743855415625e+14,3.103171129683746250e+14,3.094273936769580625e+14,5.871826183146111600e-02,2.774491714810099818e+00,3.214163121595353667e-02,3.404933650858481098e+00,8.469910669484315147e-02,2.380147801453730949e+00
1.846666666666666463e+38,3.105763426333333750e+14,4.090984507073185059e+12,9.158687289512333984e+12,6.624835898292759766e+12,3.140624992359145000e+14,3.159720036493065000e+14,3.150172514426105000e+14,6.073557327508116721e-02,2.738567467105860853e+00,3.305606573080388522e-02,3.375935433329928070e+00,8.776035716341479276e-02,2.341292836092261354e+00
1.878888888888888614e+38,3.159955447611111250e+14,4.276224314676062012e+12,9.664543366516570312e+12,6.970383840596316406e+12,3.195899363365422500e+14,3.216368564494084375e+14,3.206133963929753750e+14,6.276227118116772807e-02,2.703582847213822582e+00,3.396741942319431162e-02,3.347795748008987715e+00,9.083921862260313507e-02,2.303430840227693732e+00
1.911111111111111144e+38,3.214147468888889375e+14,4.466583184427055664e+12,1.018883545599474023e+13,7.327709320210897461e+12,3.251200436476720625e+14,3.273119999471916875e+14,3.262160217974318750e+14,6.479557432580862475e-02,2.669527838891151639e+00,3.487438714417251395e-02,3.320505594570112073e+00,9.393129379097453491e-02,2.266551539932912362e+00
1.943333333333333295e+38,3.268339490166666875e+14,4.662040040788708008e+12,1.073172068412269922e+13,7.696880362455702148e+12,3.306528765778866250e+14,3.329977606441108750e+14,3.318253186109987500e+14,6.683262913016363438e-02,2.636393153441484838e+00,3.577565743349242489e-02,3.294056285869281009e+00,9.703205834143835418e-02,2.230645628481355836e+00
1.975555555555555447e+38,3.322531511444445625e+14,4.862566545675689453e+12,1.129333315967118164e+13,8.077949852673434570e+12,3.361884877935956250e+14,3.386944622179897500e+14,3.374414750057926875e+14,6.887051635905339086e-02,2.604170180660254630e+00,3.666991641250416656e-02,3.268439416365210182e+00,1.001368720200903617e-01,2.195704701391306912e+00
2.007777777777777598e+38,3.376723532722222500e+14,5.068127063789448242e+12,1.187378304968611328e+13,8.470955056737780273e+12,3.417269270414953125e+14,3.444024247727874375e+14,3.430646759071413750e+14,7.090625889588453301e-02,2.572850931669877994e+00,3.755585208038053624e-02,3.243646822595718238e+00,1.032409914801167838e-01,2.161721183657335565e+00
2.040000000000000128e+38,3.430915554000000625e+14,5.278678651220408203e+12,1.247315570178996680e+13,8.875917176505189453e+12,3.472682409774391250e+14,3.501219640948920625e+14,3.486951025361655625e+14,7.293683053077271161e-02,2.542427975889041125e+00,3.843215905151758927e-02,3.219670535541646839e+00,1.063395846593537808e-01,2.128688252111948120e+00
2.072222222222222279e+38,3.485107575277778125e+14,5.494171071724949219e+12,1.309151082041958398e+13,9.292840946072267578e+12,3.528124730087253125e+14,3.558533909116998750e+14,3.543329319602125625e+14,7.495916569367777615e-02,2.512894373886158217e+00,3.929754362875459428e-02,3.196502728431405593e+00,1.094277466707771485e-01,2.096599753665332244e+00
2.104444444444444053e+38,3.539299596555555625e+14,5.714546840683367188e+12,1.372888170942884766e+13,9.721714275056107422e+12,3.583596631484049375e+14,3.615970101588815000e+14,3.599783366536432500e+14,7.697017010634898959e-02,2.484243606813747007e+00,4.015072918144679814e-02,3.174135660911924894e+00,1.125005171046706831e-01,2.065450120576378445e+00
2.136666666666666583e+38,3.593491617833333750e+14,5.939741300473143555e+12,1.438527458917628711e+13,1.016250794482471484e+13,3.639098478785266250e+14,3.673531202631555625e+14,3.656314840708410625e+14,7.896673218005367811e-02,2.456469504884673416e+00,4.099046179859111572e-02,3.152561620239957119e+00,1.155528984870897169e-01,2.035234285047723635e+00
2.168888888888888734e+38,3.647683639111111250e+14,6.169682727430774414e+12,1.506066799695884180e+13,1.061517536219480664e+13,3.694630600328522500e+14,3.731220124330840000e+14,3.712925362329681250e+14,8.094573509274327616e-02,2.429566175351987489e+00,4.181551601641153582e-02,3.131772864219993568e+00,1.185798758742775405e-01,2.005947592637385757e+00
2.201111111111110886e+38,3.701875660388889375e+14,6.404292471565717773e+12,1.575501228070382422e+13,1.107965237613477148e+13,3.750193286868655000e+14,3.789039699751425625e+14,3.769616493310040625e+14,8.290406942924244404e-02,2.403527930928224254e+00,4.262470076592006496e-02,3.111761561361851669e+00,1.215764372089593870e-01,1.977585717263504295e+00
2.233333333333333037e+38,3.756067681666667500e+14,6.643485130932708008e+12,1.646822919103834961e+13,1.155585716098552930e+13,3.805786790674242500e+14,3.846992676263413750e+14,3.826389733468828125e+14,8.483864621075931645e-02,2.378349220067716097e+00,4.341686532177102542e-02,3.092519733101638746e+00,1.245375943311239908e-01,1.950144577569212556e+00
2.265555555555555567e+38,3.810259702944445625e+14,6.887168759650111328e+12,1.720021158029174414e+13,1.204369016997092773e+13,3.861411324763725625e+14,3.905081709123045000e+14,3.883246516943385625e+14,8.674641020026108151e-02,2.354024559470051070e+00,4.419090520764068497e-02,3.074039198092369141e+00,1.274584043576978409e-01,1.923620255990062367e+00
2.297777777777777718e+38,3.864451724222222500e+14,7.135245110413233398e+12,1.795082321251081641e+13,1.254303416146202539e+13,3.917067062265919375e+14,3.963309355361256250e+14,3.940188208813587500e+14,8.862435333920593017e-02,2.330548469440516968e+00,4.494576796713989353e-02,3.056311519637628482e+00,1.303339913142067541e-01,1.898008920127485011e+00
2.329999999999999870e+38,3.918643745500001250e+14,7.387609910102857422e+12,1.871989869068905859e+13,1.305375430039595898e+13,3.972754135998187500e+14,4.021678067933687500e+14,3.997216101965938125e+14,9.046952815865538788e-02,2.307915412766976981e+00,4.568045881865567814e-02,3.039327954704307277e+00,1.331595676269290429e-01,1.873306748453856585e+00
2.362222222222222022e+38,3.972835766777778750e+14,7.644153169135028320e+12,1.950724350199185938e+13,1.357569833556344531e+13,4.028472638157677500e+14,4.080190190245186875e+14,4.054331414201432500e+14,9.227906101214800039e-02,2.286119737614709102e+00,4.639404605238017787e-02,3.023079406782581025e+00,1.359304552973030766e-01,1.849509860278991003e+00
2.394444444444444551e+38,4.027027788055556250e+14,7.904759521551996094e+12,2.031263418566328516e+13,1.410869685360764258e+13,4.084222620215744375e+14,4.138847951017623750e+14,4.111535285616683750e+14,9.405016499806717611e-02,2.265155624644062726e+00,4.708566605397557225e-02,3.007556384045831255e+00,1.386421066285647985e-01,1.826614249557056979e+00
2.426666666666666703e+38,4.081219809333333750e+14,8.169308595313958008e+12,2.113581862255466797e+13,1.465256360893431250e+13,4.140004092946837500e+14,4.197653459562836875e+14,4.168828776254837500e+14,9.578015242188442357e-02,2.245017038760773520e+00,4.775452803244728539e-02,2.992748959924000474e+00,1.412901241227888516e-01,1.804615724301672719e+00
2.458888888888888477e+38,4.135411830611111250e+14,8.437675410557125000e+12,2.197651644686352344e+13,1.520709592871032422e+13,4.195817026664543750e+14,4.256608701447806250e+14,4.226212864056175000e+14,9.746644667193882228e-02,2.225697685641665924e+00,4.839991827434786398e-02,2.978646739136528332e+00,1.438702794601243173e-01,1.783509850851117129e+00
2.491111111111111006e+38,4.189603851888889375e+14,8.709730803178177734e+12,2.283441957808409375e+13,1.577207519063113867e+13,4.251661351586045625e+14,4.315715534615488750e+14,4.283688443100767500e+14,9.910659337732630192e-02,2.207190973285352520e+00,4.902120394569997597e-02,2.965238827729784976e+00,1.463785312689180884e-01,1.763291904044988145e+00
2.523333333333333535e+38,4.243795873166668125e+14,8.985341871561923828e+12,2.370919287038256641e+13,1.634726737097224609e+13,4.307536958368117500e+14,4.374975685957928125e+14,4.341256322163022500e+14,9.991547191083480217e-02,2.198164131368065988e+00,4.932583004578270508e-02,2.958723505631620121e+00,1.476157708817730507e-01,1.753424643064001920e+00
